Run Time,Review ID,Model,Temperature,Prompt Template,Device,Execution Time (minutes),Label,Execution Sentiment,Reasoning,Review
2024-09-07T23:01:34,1,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.89,0,Very positive,"1. **Sentiment Statements Analysis**:\n   - Statement 1: Although films about Edgar Rice Burroughs famous Rousseauian hero Tarzan have been seen by movie goers for almost a century now, this is the definitive version of the story. Greystoke is the actual story of the origins of Tarzan as set down by Edgar Rice Burroughs way back in the second decade of the last century. I've been assured by experts.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Notable\n   - Statement 2: Tarzan and Sherlock Holmes are probably the most filmed fictional heroes in history. I've no basis in fact for saying that, just a gut feeling.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 3: But Greystoke is the real deal, a faithful adaption of Burroughs first story concerning the origin of his hero. I can't think of another film which shows that Tarzan learned French before English, but that is shown here and it's only natural since it was a French survivor of a massacred safari played by Ian Holm who discovers Tarzan who has been raised by the apes since his parents who were shipwrecked on the African coast died there after his mother gave birth.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Notable\n   - Statement 4: His parents were in fact the son and daughter-in-law of the Earl of Greystoke and the surviving Earl, played by Ralph Richardson is of course overjoyed to learn he has a grandson. Of course there are others who don't welcome the new heir back in society.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 5: One who doesn't is Andie McDowell playing of course Jane. She does not communicate with Tarzan in answer to his grunts and monosyllabic commands. Tarzan speaks a concise English, French, and understands the language of the apes as well. As for the language of love, Tarzan and Jane need no lessons.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Notable\n   - Statement 6: Greystoke earned three Oscar nominations for best makeup in regard to the apes, best adapted screenplay and a posthumous nomination for Ralph Richardson for Best Supporting Actor. It should also have rated a nomination for cinematography of the jungle scenes in Cameroun and the scenes of the British Aristocracy in several landmark places like Hatfield House and Blenheim Palace.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Notable\n   - Statement 7: For Burroughs purists, Greystoke is the real deal.\n     - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer leans more toward positive regarding the film's execution, with several minor positive statements and a single minor negative statement. The review is not overwhelmingly positive or negative, but leans more towards positive sentiment.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very positive","Although films about Edgar Rice Burroughs famous Rousseauian hero Tarzan have been seen by movie goers for almost a century now, this is the definitive version of the story. Greystoke is the actual story of the origins of Tarzan as set down by Edgar Rice Burroughs way back in the second decade of the last century. I've been assured by experts.<br /><br />Tarzan and Sherlock Holmes are probably the most filmed fictional heroes in history. I've no basis in fact for saying that, just a gut feeling. The most popular Holmes was Basil Rathbone, the most popular Tarzan was Johnny Weissmuller. And films that they made with both those characters will be criticized no end by purists.<br /><br />But Greystoke is the real deal, a faithful adaption of Burroughs first story concerning the origin of his hero. I can't think of another film which shows that Tarzan learned French before English, but that is shown here and it's only natural since it was a French survivor of a massacred safari played by Ian Holm who discovers Tarzan who has been raised by the apes since his parents who were shipwrecked on the African coast died there after his mother gave birth.<br /><br />His parents were in fact the son and daughter-in-law of the Earl of Greystoke and the surviving Earl, played by Ralph Richardson is of course overjoyed to learn he has a grandson. Of course there are others who don't welcome the new heir back in society. <br /><br />One who doesn't is Andie McDowell playing of course Jane. She does not communicate with Tarzan in answer to his grunts and monosyllabic commands. Tarzan speaks a concise English, French, and understands the language of the apes as well. As for the language of love, Tarzan and Jane need no lessons.<br /><br />Greystoke earned three Oscar nominations for best makeup in regard to the apes, best adapted screenplay and a posthumous nomination for Ralph Richardson for Best Supporting Actor. It should also have rated a nomination for cinematography of the jungle scenes in Cameroun and the scenes of the British Aristocracy in several landmark places like Hatfield House and Blenheim Palace.<br /><br />For Burroughs purists, Greystoke is the real deal."
2024-09-07T23:01:34,2,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.66,1,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""The major flaw with the film is its uninspired script."" - Subject vs. Execution: Execution (script)\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 2: ""It plods back and forth between vignettes of Bettie's story and re-creations of the Klaw short films."" - Subject vs. Execution: Execution (script)\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 3: ""While the Klaw re-creations are well done, it is unnecessary to recreate them in their near entirety."" - Subject vs. Execution: Execution (script)\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 4: ""Page Richards, while not an amazing actress, does a decent job overall."" - Subject vs. Execution: Execution (acting)\n     Sentiment Polarity: Mixed\n     Weight of Sentiment: Minor\n   - Statement 5: ""And, at times, she does bear a remarkable resemblance to Bettie."" - Subject vs. Execution: Execution (acting)\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Minor\n   - Statement 6: ""Also of note is some faithful attention to detail."" - Subject vs. Execution: Execution (detail)\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Minor\n   - Statement 7: ""Costumes and clothing well done, as is some of the set direction."" - Subject vs. Execution: Execution (costumes and set direction)\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Minor\n   - Statement 8: ""The sets are generally sparse and feel stage-y, but do feel of the era."" - Subject vs. Execution: Execution (sets)\n     Sentiment Polarity: Mixed\n     Weight of Sentiment: Minor\n   - Statement 9: ""It is sometimes surprisingly well lit, and the color palette was clearly thought-out to give the overall look a vibrant, retro feel."" - Subject vs. Execution: Execution (color and lighting)\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Minor\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer leans more toward **negative** regarding the film's execution. The reviewer points out several flaws in the script, execution of the Klaw re-creations, and the overall execution of the film. The reviewer also notes some positive aspects, such as the attention to detail and the color palette, but these are not enough to outweigh the negative sentiments.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative","The major flaw with the film is its uninspired script. It plods back and forth between vignettes of Bettie's story and re-creations of the Klaw short films. While the Klaw re-creations are well done, it is unnecessary to recreate them in their near entirety. Page Richards, while not an amazing actress, does a decent job overall. And, at times, she does bear a remarkable resemblance to Bettie. Also of note is some faithful attention to detail. Costumes and clothing well done, as is some of the set direction. The sets are generally sparse and feel stage-y, but do feel of the era. It is sometimes surprisingly well lit, and the color palette was clearly thought-out to give the overall look a vibrant, retro feel."
2024-09-07T23:01:34,3,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.71,0,Very positive,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""What a great show!"" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n   - Statement 2: ""A very underrated dramatic show."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Notable\n   - Statement 3: ""I think the best character on the show is Vern Schillinger."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Notable\n   - Statement 4: ""He is a tough, bad guy and an Aryan on top of that which makes him a true bad guy prisoner who there are many that are known to be."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n   - Statement 5: ""This show has many murders, I think it is a little over exaggerated for the killing on the show, but I have to admit that is one of the reasons why I think the show is so great."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Mixed positive\n     Weight of Sentiment: Minor\n   - Statement 6: ""I think some characters were killed off a little early, but some sure still made their mark."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Mixed positive\n     Weight of Sentiment: Minor\n   - Statement 7: ""You can't compare things like Prison Break to this show, they are totally different."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 8: ""I think some of the actors on the show are also very good and underrated and should what is due to them."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Notable\n   - Statement 9: ""A great show, my favorite's."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n   - Statement 10: ""A show that should be considered of the the greats for years to come."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer is very positive, with several statements praising the execution of the show. The reviewer also notes that the show has many murders, which some may find exaggerated, but still appreciates the quality of the show. The reviewer also compliments the actors and believes the show should be considered a great one for years to come.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very positive","What a great show! A very underrated dramatic show. It is great how there are no main characters and every episode some other character(s) are the main character(s).I think the best character on the show is Vern Schillinger. He is a tough, bad guy and an Aryan on top of that which makes him a true bad guy prisoner who there are many that are known to be. This show has many murders, I think it is a little over exaggerated for the killing on the show, but I have to admit that is one of the reasons why I think the show is so great.I think some characters were killed off a little early, but some sure still made their mark. You can't compare things like Prison Break to this show, they are totally different. I think some of the actors on the show are also very good and underrated and should what is due to them. A great show, my favorite's. A show that should be considered of the the greats for years to come."
2024-09-07T23:01:34,4,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.51,1,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""This movie is NOT funny."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 2: ""This is the worst parody movie ever."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Notable\n   - Statement 3: ""This is a poor attempt of parody films."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 4: ""The cast is bad."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 5: ""The film is bad."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 6: ""This is one of the worst pictures ever made."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 7: ""I do not recommend Plump Fiction."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 8: ""I prefer the original Pulp Fiction by the great Quentin Tarantino."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 9: ""This is one of the worst parody films ever made."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment toward the film's execution is **very negative**. The reviewer expresses strong dissatisfaction with the film's humor, parody, and execution, with several minor negative statements outweighing the notable positive ones.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative",If you watched Pulp Fiction don't see this movie. This movie is NOT funny. This is the worst parody movie ever. This is a poor attempt of parody films.<br /><br />The cast is bad. The film is bad. This is one of the worst pictures ever made.<br /><br />I do not recommend Plump Fiction. I prefer the original Pulp Fiction by the great Quentin Tarantino. This is one of the worst parody films ever made.<br /><br />Plump Fiction is not a good movie. It is not funny. It is so dumb and vulgar.
2024-09-07T23:01:34,5,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.72,0,Very positive,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""Just given the fact that it is based on the most infamous mass suicide incident of modern times would have been enough to give this 2-part 1980 made-for-TV film attention.""\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Dominant\n   - Statement 2: ""But the fact is that it is a superb recreation of the life of the Rev. Jim Jones, who built a church into a virtual empire, and then encouraged it to disintegrate into a sleazy cult in which a Congressman and his entourage were assassinated, and 917 cult followers committed suicide by drinking Kool-Aid doused with cyanide.""\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Dominant\n   - Statement 3: ""Done very tastefully but horrifying enough, unlike the excruciatingly sadistic CULT OF THE DAMNED, GUYANA TRAGEDY features an all-star cast, including Ned Beatty (as Rep. Leo Ryan), Meg Foster, Randy Quaid, Brad Dourif, Brenda Vaccaro, LeVar Burton, and Madge Sinclair.""\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Notable\n   - Statement 4: ""But it is Powers Boothe (in his first big role) that really stands out as Jim Jones. He actually BECOMES the man, and his performance is riveting and chilling.""\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Dominant\n   - Statement 5: ""Thus, it is no wonder that this film still manages to attract attention after more than twenty years.""\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Notable\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer is very positive toward the film's execution. The review highlights the film's ability to recreate the life of Rev. Jim Jones and the events surrounding his suicide cult, which is considered a ""mass suicide incident of modern times."" The reviewer praises the film's cast, direction, acting, cinematography, and production quality, and notes that it still manages to attract attention after more than twenty years. The sentiment is dominated by positive statements, with minor negative statements balancing the overall tone.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very positive","Just given the fact that it is based on the most infamous mass suicide incident of modern times would have been enough to give this 2-part 1980 made-for-TV film attention. But the fact is that it is a superb recreation of the life of the Rev. Jim Jones, who built a church into a virtual empire, and then encouraged it to disintegrate into a sleazy cult in which a Congressman and his entourage were assassinated, and 917 cult followers committed suicide by drinking Kool-Aid doused with cyanide.<br /><br />Done very tastefully but horrifying enough, unlike the excruciatingly sadistic CULT OF THE DAMNED, GUYANA TRAGEDY features an all-star cast, including Ned Beatty (as Rep. Leo Ryan), Meg Foster, Randy Quaid, Brad Dourif, Brenda Vaccaro, LeVar Burton, and Madge Sinclair. But it is Powers Boothe (in his first big role) that really stands out as Jim Jones. He actually BECOMES the man, and his performance is riveting and chilling. Thus, it is no wonder that this film still manages to attract attention after more than twenty years."
2024-09-07T23:01:34,6,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.39,1,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: There is a reason why this made for British TV movie only appeared at the 1977 Toronto Film Festival. It is dull, plodding and lacking in suspense.\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Negative\n     - **Weight of Sentiment**: Notable\n   - Statement 2: Peter OÕTooleÕs diffident performance and the appearance of playwright Harold Pinter are the only elements of interest.\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Minor\n   - Statement 3: Some British film fans will enjoy seeing Philip Jackson, best known for his portrayal of Inspector Japp in the Poirot television series, in one of his earliest roles....\n     - **Subject vs. Execution**: Execution\n     - **Sentiment Polarity**: Positive\n     - **Weight of Sentiment**: Minor\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment toward the film's execution leans more towards **negative**.\n     - The reviewer expresses dissatisfaction with the film's execution, describing it as dull, plodding, and lacking in suspense. They also mention that the only elements of interest are Peter OÕTooleÕs performance and the appearance of playwright Harold Pinter. The reviewer does not seem to have a strong positive sentiment towards the film's execution.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative","There is a reason why this made for British TV movie only appeared at the 1977 Toronto Film Festival. It is dull, plodding and lacking in suspense.<br /><br />Peter OÕTooleÕs diffident performance and the appearance of playwright Harold Pinter are the only elements of interest.<br /><br />Note : Some British film fans will enjoy seeing Philip Jackson, best known for his portrayal of Inspector Japp in the Poirot television series, in one of his earliest roles...."
2024-09-07T23:01:34,7,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.63,0,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""I used to love Sabrina The Teenage Witch and have seen every single episode."" - Subject vs. Execution: Subject\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n   - Statement 2: ""The best series has to be when she was friends with Valerie (I'm not sure which one that is)."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Notable\n   - Statement 3: ""From there the next series (friends with Dreama) was still really good, but when she left high school it just doesn't seem right."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Mixed positive\n     Weight of Sentiment: Minor\n   - Statement 4: ""All the main characters seemed to have left, which meant that it didn't have as much of the old 'sparkle', however the first series where Sabrina is in college is still relatively good and watchable, however when her aunt's leave and Sabrina moves into their house it just isn't right."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Mixed negative\n     Weight of Sentiment: Minor\n   - Statement 5: ""She is no longer a teenager, so therefore the name of the show isn't right and without Hilda and Zelda and Josh the show just doesn't seem right, especially when Sabrina nearly marries someone that isn't Harvey."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 6: ""All in all I still love to watch the old episodes of Sabrina the Teenage Witch, but I think the writers took it too far and should have left it with Sabrina leaving high school."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Dominant\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer is mixed, leaning slightly towards negative. The sentiment is primarily about the execution of the show, with a few minor positive statements. The reviewer expresses disappointment with the show's direction and the absence of key characters, which negatively impacts the overall experience.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative","I used to love Sabrina The Teenage Witch and have seen every single episode. I remember when I used to sit at 6pm every night and wait for it to come on Nickelodeon, however when Sabrina left high school the show began to go downhill. The best series has to be when she was friends with Valerie (I'm not sure which one that is). From there the next series (friends with Dreama) was still really good, but when she left high school it just didn't seem right. All the main characters seemed to have left, which meant that it didn't have as much of the old 'sparkle', however the first series where Sabrina is in college is still relatively good and watchable, however when her aunt's leave and Sabrina moves into their house it just isn't right. She is no longer a teenager, so therefore the name of the show isn't right and without Hilda and Zelda and Josh the show just doesn't seem right, especially when Sabrina nearly marries someone that isn't Harvey. Thank goodness he came through in the last five minutes of the last episode to take her away. All in all I still love to watch the old episodes of Sabrina the Teenage Witch, but I think the writers took it too far and should have left it with Sabrina leaving high school. Because after that the show definitely lost some of it's magic"
2024-09-07T23:01:34,8,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.55,1,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""The novel by Stephen King was good--it was long but it developed characters and situations that made you care what happened."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Dominant\n   - Statement 2: ""The movie jettisons ALL the character development and just plays up the gore and violence."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Notable\n   - Statement 3: ""Acting is no help. Midkiff is just dreadful as the father--he's handsome and buff but totally blank."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 4: ""Crosby isn't much better."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 5: ""The two kids are just annoying."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 6: ""Only Gwynne single-handedly saves this picture with his effortless good acting."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Positive\n     Weight of Sentiment: Notable\n   - Statement 7: ""This picture shows a total contempt for the audience taking large leaps in logic and having characters do incredibly stupid things (especially Midkiff at the end)."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer leans more toward **negative** regarding the film's execution. The reviewer criticizes the execution of the film, including its lack of character development, excessive gore and violence, and the portrayal of the characters as annoying and stupid.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative","A family with dad Louis (Dale Midkiff), mom Rachel (Denise Crosby), 10 year old Eileen (Blaze Berdalh and about 3 year old Gage (Miko Hughes) move to this beautiful house in Maine--seemingly unaware of the semis that roar down the highway in front of their house every 90 seconds or so! The neighbor across the way (the wonderful Fred Gwynne) makes them feel at home...and shows them a pet cemetery where children bury their pets. But a little further on is a sacred ground which can bring the dead back to life...but the dead come back in a nasty mood.<br /><br />''DEFINITE SPOILERS** The novel by Stephen King was good--it was long but it developed characters and situations that made you care what happened. This movie jettisons ALL the character development and just plays up the gore and violence. Animals are killed ON camera (I know it's faked but it's still repulsive); a little boy is hit by a semi and his casket pops open during the funeral (in a totally sick scene); he's brought back to life and attacks and kills people including his mom (I DO wonder how a 3 year old was able to hang her); a ghostly jogger (don't ask) tries to help the family for no reason...The movie just works the audience over shoving every gruesome death or violence into your face. It just goes out of its way to shock you. **END SPOILERS**<br /><br />Acting is no help. Midkiff is just dreadful as the father--he's handsome and buff but totally blank. Crosby isn't much better. The two kids are just annoying. Only Gwynne single-handedly saves this picture with his effortless good acting. <br /><br />This picture shows a total contempt for the audience taking large leaps in logic and having characters do incredibly stupid things (especially Midkiff at the end). This movie was (inexplicably) a huge box office hit in 1989 which led to the even worse sequel in 1992. I saw it in a theatre back then and was disturbed how the audience kept cheering on the violence and was just appalled by what I saw. A sick repulsive horror film. A 1 all the way.<br /><br />When you think it's all over and can't get worse the Ramones sing a title song!!!!!! ('I don't wanna be buried in a pet cemetery'). Truly beyond belief."
2024-09-07T23:01:34,9,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.85,0,Very positive,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""It features only two actors in a single set, but never loses your attention."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Dominant\n   - Statement 2: ""The set design is imaginative and troubling, the staging of scenes maintains your attention, while adding to your own sense of confusion and terror."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Dominant\n   - Statement 3: ""The acting is outstanding, with Alan Rickman and Madeleine Stowe having the duty of carrying every scene."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Dominant\n   - Statement 4: ""It should be seen, though. It features a brilliant staging of the torture and interrogation techniques used by repressive societies to instill fear and obedience in its citizens."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Dominant\n   - Statement 5: ""It illustrates what happens when a small group of people decide what is best for everyone; when government becomes the ruler of the citizens, rather than the servant."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Notable\n   - Statement 6: ""It demonstrates that the individual can stand up to the state or other oppressor by refusing to give in to fear and terror."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Positive\n     - Weight of Sentiment: Dominant\n   - Statement 7: ""It is even more timely in a world where 'enemy combatants' are held and interrogated in secret prisons, denied legal rights or counsel; where 'ethnic cleansing' lays waste to whole societies, and humanitarian aid is denied."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Notable\n   - Statement 8: ""It features a brilliant staging of the torture and interrogation techniques used by repressive societies to instill fear and obedience in its citizens."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Notable\n   - Statement 9: ""It is slowly revealed that she was the victim of childhood sexual abuse."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Minor\n   - Statement 10: ""It is even more timely in a world where 'enemy combatants' are held and interrogated in secret prisons, denied legal rights or counsel; where 'ethnic cleansing' lays waste to whole societies, and humanitarian aid is denied."" - Subject vs. Execution: Execution\n     - Sentiment Polarity: Negative\n     - Weight of Sentiment: Notable\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment of the reviewer is very positive toward the film's execution. The reviewer praises the film's execution, particularly the acting, set design, and staging, and notes that it is timely and relevant to current events. The reviewer also highlights the film's ability to provoke thought and challenge societal norms.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very positive","Closet Land is an amazing, terrifying piece of cinema. It features only two actors in a single set, but never loses your attention. The set design is imaginative and troubling, the staging of scenes maintains your attention, while adding to your own sense of confusion and terror. The acting is outstanding, with Alan Rickman and Madeleine Stowe having the duty of carrying every scene.<br /><br />I first saw this film in 1991, soon after it came out on video. It didn't play in theaters where I lived; not surprising, given its political content. It should be seen, though. It features a brilliant staging of the torture and interrogation techniques used by repressive societies to instill fear and obedience in its citizens. The country is never named, which makes it all the more striking. It could be anywhere; East, West, 3rd World, 1st World. It illustrates what happens when a small group of people decide what is best for everyone; when government becomes the ruler of the citizens, rather than the servant.<br /><br />Madeleine Stowe is a children's author who has been dragged from her bed in the night and subjected to terror and torture. She finds herself in a room with Alan Rickman, a seemingly pleasant functionary. At first it seems a horrible mistake and she is free to go; but, fear causes her to remain and the terror escalates. She is increasingly subjected to physical and mental torture. The interrogator uses sensory deprivation, temporal manipulation, confusion, auditory manipulation, role play, and twisted logic to break down the author. She is humiliated and browbeaten, forced to endure strenuous bodily positions, deprived of food and water.<br /><br />Through it all, she refuses to give in; to do what the interrogator asks. She is told that it will all end if she just signs a confession. A simple little act. She refuses. Through it all, she employs defense mechanisms that have developed since childhood. It is slowly revealed that she was the victim of childhood sexual abuse. To survive, she developed fantasy worlds and characters that would take her away from the abuse. These mechanisms allow her to transcend her torture and turn the tables on her interrogator. She starts attacking his own beliefs and profession, forcing him to examine his own life and motives. In the end, she is free, because she maintains the freedom of thought. The interrogator is the one trapped by the state.<br /><br />This movie was made during the height of the Cold war, Apartheid, and at a time when the crimes of many governments throughout the world made daily news. It is even more timely in a world where 'enemy combatants' are held and interrogated in secret prisons, denied legal rights or counsel; where 'ethnic cleansing' lays waste to whole societies, and humanitarian aid is denied. It demonstrates that the individual can stand up to the state or other oppressor by refusing to give in to fear and terror."
2024-09-07T23:01:34,10,QWEN_Q,0.2,015c+step-by-step-improvements,MPS,0.35,1,Very negative,"1. **Sentiment Statements Analysis**:\n   - Statement 1: ""I don't know that I've seen a worse film than this."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Dominant\n   - Statement 2: ""I mean, somebody got PAID to write this drivel?"" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 3: ""What a waste of a great talent."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Minor\n   - Statement 4: ""So, friends of Foster, and the truth, and good entertainment, be afraid... be very, very, afraid."" - Subject vs. Execution: Execution\n     Sentiment Polarity: Negative\n     Weight of Sentiment: Dominant\n\n2. **Overall Sentiment Synthesis**:\n   - The overall sentiment toward the film's execution is predominantly negative. The reviewer expresses strong dissatisfaction with the film's execution, particularly in terms of the subject matter (Stephen Foster and his music) and the quality of the film's production. The reviewer also criticizes the direction, acting, and cinematography, which contribute to the overall negative sentiment.\n\n3. **Final Sentiment Classification**:\n   - Execution sentiment: Very negative","Just picked up this film for a buck at National Wholesale Liquidators, and after watching it, I feel like I got ripped-off.<br /><br />I don't know that I've seen a worse film than this. Honestly. And I would never write a negative review of a film had I not such enormous respect for the subject matter, that is, Stephen Foster and his music.<br /><br />First, what is it? It's a musical biography? Yeah, lot's of tunes by Foster then interspersed here and there are these pseudo-Broadway-Jerome Kern-type numbers that reek more than the Mississippi delta. I mean, somebody got PAID to write this drivel? Secondly, the REAL story of Foster is a fascinating one. Why not even come CLOSE to it? Thirdly, what did they have on the great Ray Middleton to get him to do this film? Pictures of him with small boys?? With communists? What a waste of a great talent.<br /><br />So, friends of Foster, and the truth, and good entertainment, be afraid... be very, very, afraid."
