id,label,review
1,0,"Although films about Edgar Rice Burroughs famous Rousseauian hero Tarzan have been seen by movie goers for almost a century now, this is the definitive version of the story. Greystoke is the actual story of the origins of Tarzan as set down by Edgar Rice Burroughs way back in the second decade of the last century. I've been assured by experts.<br /><br />Tarzan and Sherlock Holmes are probably the most filmed fictional heroes in history. I've no basis in fact for saying that, just a gut feeling. The most popular Holmes was Basil Rathbone, the most popular Tarzan was Johnny Weissmuller. And films that they made with both those characters will be criticized no end by purists.<br /><br />But Greystoke is the real deal, a faithful adaption of Burroughs first story concerning the origin of his hero. I can't think of another film which shows that Tarzan learned French before English, but that is shown here and it's only natural since it was a French survivor of a massacred safari played by Ian Holm who discovers Tarzan who has been raised by the apes since his parents who were shipwrecked on the African coast died there after his mother gave birth.<br /><br />His parents were in fact the son and daughter-in-law of the Earl of Greystoke and the surviving Earl, played by Ralph Richardson is of course overjoyed to learn he has a grandson. Of course there are others who don't welcome the new heir back in society. <br /><br />One who doesn't is Andie McDowell playing of course Jane. She does not communicate with Tarzan in answer to his grunts and monosyllabic commands. Tarzan speaks a concise English, French, and understands the language of the apes as well. As for the language of love, Tarzan and Jane need no lessons.<br /><br />Greystoke earned three Oscar nominations for best makeup in regard to the apes, best adapted screenplay and a posthumous nomination for Ralph Richardson for Best Supporting Actor. It should also have rated a nomination for cinematography of the jungle scenes in Cameroun and the scenes of the British Aristocracy in several landmark places like Hatfield House and Blenheim Palace.<br /><br />For Burroughs purists, Greystoke is the real deal."
2,1,"The major flaw with the film is its uninspired script. It plods back and forth between vignettes of Bettie's story and re-creations of the Klaw short films. While the Klaw re-creations are well done, it is unnecessary to recreate them in their near entirety. Page Richards, while not an amazing actress, does a decent job overall. And, at times, she does bear a remarkable resemblance to Bettie. Also of note is some faithful attention to detail. Costumes and clothing well done, as is some of the set direction. The sets are generally sparse and feel stage-y, but do feel of the era. It is sometimes surprisingly well lit, and the color palette was clearly thought-out to give the overall look a vibrant, retro feel."
3,0,"What a great show! A very underrated dramatic show. It is great how there are no main characters and every episode some other character(s) are the main character(s).I think the best character on the show is Vern Schillinger. He is a tough, bad guy and an Aryan on top of that which makes him a true bad guy prisoner who there are many that are known to be. This show has many murders, I think it is a little over exaggerated for the killing on the show, but I have to admit that is one of the reasons why I think the show is so great.I think some characters were killed off a little early, but some sure still made their mark. You can't compare things like Prison Break to this show, they are totally different. I think some of the actors on the show are also very good and underrated and should what is due to them. A great show, my favorite's. A show that should be considered of the the greats for years to come."
4,1,If you watched Pulp Fiction don't see this movie. This movie is NOT funny. This is the worst parody movie ever. This is a poor attempt of parody films.<br /><br />The cast is bad. The film is bad. This is one of the worst pictures ever made.<br /><br />I do not recommend Plump Fiction. I prefer the original Pulp Fiction by the great Quentin Tarantino. This is one of the worst parody films ever made.<br /><br />Plump Fiction is not a good movie. It is not funny. It is so dumb and vulgar.
5,0,"Just given the fact that it is based on the most infamous mass suicide incident of modern times would have been enough to give this 2-part 1980 made-for-TV film attention. But the fact is that it is a superb recreation of the life of the Rev. Jim Jones, who built a church into a virtual empire, and then encouraged it to disintegrate into a sleazy cult in which a Congressman and his entourage were assassinated, and 917 cult followers committed suicide by drinking Kool-Aid doused with cyanide.<br /><br />Done very tastefully but horrifying enough, unlike the excruciatingly sadistic CULT OF THE DAMNED, GUYANA TRAGEDY features an all-star cast, including Ned Beatty (as Rep. Leo Ryan), Meg Foster, Randy Quaid, Brad Dourif, Brenda Vaccaro, LeVar Burton, and Madge Sinclair. But it is Powers Boothe (in his first big role) that really stands out as Jim Jones. He actually BECOMES the man, and his performance is riveting and chilling. Thus, it is no wonder that this film still manages to attract attention after more than twenty years."
6,1,"There is a reason why this made for British TV movie only appeared at the 1977 Toronto Film Festival. It is dull, plodding and lacking in suspense.<br /><br />Peter OÕTooleÕs diffident performance and the appearance of playwright Harold Pinter are the only elements of interest.<br /><br />Note : Some British film fans will enjoy seeing Philip Jackson, best known for his portrayal of Inspector Japp in the Poirot television series, in one of his earliest roles...."
7,0,"I used to love Sabrina The Teenage Witch and have seen every single episode. I remember when I used to sit at 6pm every night and wait for it to come on Nickelodeon, however when Sabrina left high school the show began to go downhill. The best series has to be when she was friends with Valerie (I'm not sure which one that is). From there the next series (friends with Dreama) was still really good, but when she left high school it just didn't seem right. All the main characters seemed to have left, which meant that it didn't have as much of the old 'sparkle', however the first series where Sabrina is in college is still relatively good and watchable, however when her aunt's leave and Sabrina moves into their house it just isn't right. She is no longer a teenager, so therefore the name of the show isn't right and without Hilda and Zelda and Josh the show just doesn't seem right, especially when Sabrina nearly marries someone that isn't Harvey. Thank goodness he came through in the last five minutes of the last episode to take her away. All in all I still love to watch the old episodes of Sabrina the Teenage Witch, but I think the writers took it too far and should have left it with Sabrina leaving high school. Because after that the show definitely lost some of it's magic"
8,1,"A family with dad Louis (Dale Midkiff), mom Rachel (Denise Crosby), 10 year old Eileen (Blaze Berdalh and about 3 year old Gage (Miko Hughes) move to this beautiful house in Maine--seemingly unaware of the semis that roar down the highway in front of their house every 90 seconds or so! The neighbor across the way (the wonderful Fred Gwynne) makes them feel at home...and shows them a pet cemetery where children bury their pets. But a little further on is a sacred ground which can bring the dead back to life...but the dead come back in a nasty mood.<br /><br />''DEFINITE SPOILERS** The novel by Stephen King was good--it was long but it developed characters and situations that made you care what happened. This movie jettisons ALL the character development and just plays up the gore and violence. Animals are killed ON camera (I know it's faked but it's still repulsive); a little boy is hit by a semi and his casket pops open during the funeral (in a totally sick scene); he's brought back to life and attacks and kills people including his mom (I DO wonder how a 3 year old was able to hang her); a ghostly jogger (don't ask) tries to help the family for no reason...The movie just works the audience over shoving every gruesome death or violence into your face. It just goes out of its way to shock you. **END SPOILERS**<br /><br />Acting is no help. Midkiff is just dreadful as the father--he's handsome and buff but totally blank. Crosby isn't much better. The two kids are just annoying. Only Gwynne single-handedly saves this picture with his effortless good acting. <br /><br />This picture shows a total contempt for the audience taking large leaps in logic and having characters do incredibly stupid things (especially Midkiff at the end). This movie was (inexplicably) a huge box office hit in 1989 which led to the even worse sequel in 1992. I saw it in a theatre back then and was disturbed how the audience kept cheering on the violence and was just appalled by what I saw. A sick repulsive horror film. A 1 all the way.<br /><br />When you think it's all over and can't get worse the Ramones sing a title song!!!!!! ('I don't wanna be buried in a pet cemetery'). Truly beyond belief."
9,0,"Closet Land is an amazing, terrifying piece of cinema. It features only two actors in a single set, but never loses your attention. The set design is imaginative and troubling, the staging of scenes maintains your attention, while adding to your own sense of confusion and terror. The acting is outstanding, with Alan Rickman and Madeleine Stowe having the duty of carrying every scene.<br /><br />I first saw this film in 1991, soon after it came out on video. It didn't play in theaters where I lived; not surprising, given its political content. It should be seen, though. It features a brilliant staging of the torture and interrogation techniques used by repressive societies to instill fear and obedience in its citizens. The country is never named, which makes it all the more striking. It could be anywhere; East, West, 3rd World, 1st World. It illustrates what happens when a small group of people decide what is best for everyone; when government becomes the ruler of the citizens, rather than the servant.<br /><br />Madeleine Stowe is a children's author who has been dragged from her bed in the night and subjected to terror and torture. She finds herself in a room with Alan Rickman, a seemingly pleasant functionary. At first it seems a horrible mistake and she is free to go; but, fear causes her to remain and the terror escalates. She is increasingly subjected to physical and mental torture. The interrogator uses sensory deprivation, temporal manipulation, confusion, auditory manipulation, role play, and twisted logic to break down the author. She is humiliated and browbeaten, forced to endure strenuous bodily positions, deprived of food and water.<br /><br />Through it all, she refuses to give in; to do what the interrogator asks. She is told that it will all end if she just signs a confession. A simple little act. She refuses. Through it all, she employs defense mechanisms that have developed since childhood. It is slowly revealed that she was the victim of childhood sexual abuse. To survive, she developed fantasy worlds and characters that would take her away from the abuse. These mechanisms allow her to transcend her torture and turn the tables on her interrogator. She starts attacking his own beliefs and profession, forcing him to examine his own life and motives. In the end, she is free, because she maintains the freedom of thought. The interrogator is the one trapped by the state.<br /><br />This movie was made during the height of the Cold war, Apartheid, and at a time when the crimes of many governments throughout the world made daily news. It is even more timely in a world where 'enemy combatants' are held and interrogated in secret prisons, denied legal rights or counsel; where 'ethnic cleansing' lays waste to whole societies, and humanitarian aid is denied. It demonstrates that the individual can stand up to the state or other oppressor by refusing to give in to fear and terror."
10,1,"Just picked up this film for a buck at National Wholesale Liquidators, and after watching it, I feel like I got ripped-off.<br /><br />I don't know that I've seen a worse film than this. Honestly. And I would never write a negative review of a film had I not such enormous respect for the subject matter, that is, Stephen Foster and his music.<br /><br />First, what is it? It's a musical biography? Yeah, lot's of tunes by Foster then interspersed here and there are these pseudo-Broadway-Jerome Kern-type numbers that reek more than the Mississippi delta. I mean, somebody got PAID to write this drivel? Secondly, the REAL story of Foster is a fascinating one. Why not even come CLOSE to it? Thirdly, what did they have on the great Ray Middleton to get him to do this film? Pictures of him with small boys?? With communists? What a waste of a great talent.<br /><br />So, friends of Foster, and the truth, and good entertainment, be afraid... be very, very, afraid."
